4.3	642.1	21.6	109.7
3.8	600.6	23.1	124.8
4.2	604.2	25.1	127.4
4.3	560.9	25.8	116
3.6	573.8	25.9	109.9
5.2	540.4	24.9	98.8
6.5	601.5	24.4	79.6
5.2	658.9	24.5	80.5
5.4	654.8	25.5	106.9
3.3	655.4	25	94.7
2.7	613.1	26	86.8
3.1	535.4	24.9	91.9
2.7	605	25	97.4
1.9	585.4	16.9	124
2	415.2	18.7	104.6
2.4	466.6	18.6	111.6
1.4	230.3	13.6	76.6
4.1	540.5	15.6	120.9
4.8	319.8	13	76
2.9	397.9	15.2	94.8
5.3	482.8	15.2	81.2
4	511	16.4	97.5
2.2	591.4	20.9	124.3
2.7	575.6	24.8	138.2
2.9	350.5	20.3	94.2
2.6	590.4	27.8	125
2.7	532.4	28.4	201.6
1.8	135.7	19.1	53.8
2.9	67.9	14.5	44.4
1.7	382.9	21.7	114.7
1.5	515.7	26	187.6
2	522.5	28.4	173.7
2.9	491.5	25.7	104
2.4	209.5	20.5	55.2
2.5	569.9	24.1	106.5
3.7	516.8	23.2	88.4
4.1	359	17.7	40.3
3.3	572.1	20.3	73.5
4.3	486.9	21.8	57.2
3.2	612.8	20.3	47.9
4	209.7	17	37.5
2.1	602.8	21.5	68.4
1.8	679.5	24.2	76.5
1.9	586.4	27.7	91.4
2.1	606.5	29.9	138.5
2	445.4	26.8	86.9
2.4	319.1	25.4	74
1.9	246.4	21.6	43.3
2.9	463.5	23.8	113.3
2.8	378.8	24.1	76.7
3	571.6	22.7	54.8
2.6	565.7	25	69
4.4	375	25	54.1
4.7	313.9	17.3	36.5
3.9	216.7	13.5	27.2
4.3	285.1	14.1	39.5
3.9	506.9	18.1	44.7
2.8	330.1	21	58.9
1.2	542.1	23.9	89.7
1.1	249.1	21.2	82.3
3.3	442.9	25.1	93.6
4.7	352.2	21	74.6
1.6	362.8	21.3	71.7
3.5	446.1	23.8	74.1
4.5	308.6	21.8	55.3
1.5	494.2	25.4	83.9
2.5	475	25.3	83.8
2	583.4	29.6	101.8
2.3	535	32.9	117.4
2.3	498.5	24.4	77.2
2.2	520.6	24.6	80.1
4.1	520.4	27.3	95.6
1.3	560.6	28.1	113.9
1.5	508.1	30.2	109.5
2.8	489.5	28.7	139.3
2.8	411.3	24	73.5
2	528.1	24.6	125.4
3.4	190.5	20.4	74.8
1.4	115.4	16.8	33.3
7	310.8	18.9	72
5.4	253.4	14.1	44.1
3.4	246.9	14.7	44.2
1.5	426.9	18.7	91.6
2.1	538.1	21.2	94.3
1.8	412.5	21.4	98.2
1.6	86.5	13.7	21.5
3.3	185.8	14.6	53.5
1.1	178.7	15	27.9
3.9	483.4	20.9	73.1
4	497.4	21.9	72.6
2	409.8	20.6	71.8
0.6	290.3	20.1	57.3
3.4	426.5	23.6	78.6
1.4	332.1	20.5	53.6
2.4	261.8	18	44.5
6	282.8	17.8	49.6
5.9	62.9	14.7	31.9
5	312.9	21.7	40.4
1.7	442.1	24.7	71.8
1.5	409.1	26.6	75
3	311.7	24.1	49.4
2.3	391.8	24.2	72.2
2.3	206.2	21.2	36.6
1	245.6	21	49.4
4.2	68.6	16.1	15.8
1.8	129.4	14.1	12.9
2	262.2	16.5	13.5
1	273.5	15.8	39.9
4	264.5	14	28.2
1.7	202.5	13.1	12.6
2.8	216.5	14	27.5
2.2	182.2	13.4	18.5
2.6	153.4	15.4	17.1
3.1	120.2	12.8	9.6
2.7	275.5	14.6	28.2
3.2	383.1	15	39.2
1.1	351.6	15.9	20.3
2.1	63.1	11.1	4
3.8	211.3	12	34.6
3.3	95.7	9.2	22.5
3	87.7	8.8	1.1
2.9	102.4	9.4	10.9
4.3	26.5	9	11.8
3.5	157.7	13	15.8
2	138.2	13.5	9.6
3.5	75.9	11.8	22.5
3.3	166.3	10.5	28.3
1.1	300.5	11.5	18.2
1.1	298.9	13.1	4
0.9	257.8	13.1	4.6
0.9	212.8	14.9	7.1
3.3	59.7	13.5	5
4.9	219.1	20.5	30.8
1.4	283.6	20.6	38.3
1.1	255.3	19	11.6
1.9	243.3	18.6	30.6
1.1	238.4	18.2	24.2
1	231.5	17.3	20.7
1.1	242.1	17.3	4.4
1.4	172.6	13.3	11.1
5	86.4	12.4	36.9
7.4	77.8	15	23.6
4.4	45.5	13.1	13.1
1.61	589.65	25.45	160.53
4.95	272.76	15.65	67.47
4.81	364.69	16.53	72.75
5.75	444.24	16.37	79.65
2.08	527.88	18.98	69.94
1.88	205.12	15.22	54.18
2.75	201.88	17.17	42.53
3.14	303.12	13.92	52.5
3.35	498.59	14.58	69.71
3.41	178	12.79	59.06
2.54	356.2	16.13	67.8
3.82	240.35	16.61	55.71
2.82	107.12	12.49	10.56
1.78	179.12	14.25	38.71
2.83	219.12	15.89	28.88
2.17	391.29	18.99	95.65
1.96	604.29	23.53	135.59
3.1	394	20.45	101.88
2.11	622.59	26.57	119.24
2.22	115.53	17.21	30.24
2.24	476.65	20.18	65.29
5.38	306.71	16.12	49.19
5.06	551.65	19.02	69.69
1.85	422.24	18.39	62.88
2.11	660.53	24.93	120.3
3.68	640.82	29.62	113.06
2.56	330.59	25.71	104.5
2.45	489.06	23.73	99.06
2.94	489.12	28.15	105.44
2	529.41	27.34	120.88
6.79	475.29	19.51	71.35
2.61	507.47	19.81	73.88
3.21	90.76	13.97	23.94
2.45	387.71	19.22	92.88
5.03	136.59	15.59	28.82
6.72	301.35	15.49	53.24
2.82	146.35	14.52	53.12
4.71	190.88	18.25	26.24
4.72	153.71	20.02	33.29
4.44	336.47	15.14	52.65
1.64	584.59	19.85	75
3.99	635.18	24.89	109.56
3.24	599.47	27.74	138.25
4.52	646.59	22.77	92.88
2.07	660.41	25.65	111.75
3.18	566.82	26.99	154.44
3.64	401.94	22.01	87.81
2.8	319.19	18.25	50.4
2.01	606.53	22.12	95.41
1.78	600.82	26.01	110.88
2	587.18	28.87	154.24
3.72	574.76	27.61	169.47
3.39	611.59	24.56	107.67
2.11	564.94	22.51	89.44
2.08	599.82	24.28	107.44
3.81	567.94	26.39	115.56
2.69	556	29.23	119.75
2.2	553.59	32.31	164.65
2.59	395.82	27.58	152.88
2.42	449.35	26.92	133.75
2.99	409.88	27.57	152.76
3.4	517.06	30.54	71.76
3.65	444.44	22.06	88
2.99	377.88	19.22	65.19
2.04	507.65	22.29	84.69
1.74	555.59	24.84	127.94
2.77	390.76	26.08	158.5
1.56	395.12	26.95	144.56
1.79	536.88	31.43	149.5
3.71	301.59	25.82	87.29
2.84	172.56	19.92	45.5
4.37	472.71	24.81	90.81
3.96	174.12	21.31	42.25
5.61	540.12	19.39	70.75
5.02	409.94	21.67	87
2.11	446.65	22.08	82.59
7.46	265.69	22.19	57.69
4.95	349.76	17.2	51.12
2.75	309.88	17.63	52.35
2.34	494.94	22.92	77.94
1.55	528.88	28.32	118.35
4.12	351.29	25.15	137.59
2.15	294.94	24.13	129.41
1.68	430.06	26.82	144.18
1.47	417.06	26.81	118.88
2.31	369.44	27	131.56
3.98	439.29	27.24	134.38
4.76	100.82	15.22	27
3.08	187.18	15.62	65
1.99	278.65	18.47	66.94
2.65	60.94	15.26	33.14
2.68	302.71	19.2	88.76
3.62	335.24	16.15	66.65
3.5	300.31	18.65	90.31
4.93	170.29	12.95	52.69
3.11	229.88	14.58	53.63
2.46	327.24	16.93	75.44
2.51	146	14.24	24.5
1.57	168.06	13.75	23.44
1.25	289.41	15.11	39.44
2.13	430.94	19.51	97.18
1.77	452.82	20.85	94.71
3.31	395.25	18.24	94.25
3.66	481.29	17.11	73.25
3.18	364.57	18.5	102.23
2.94	335.59	15.64	63.56
5.44	350.82	20.9	99.81
4.75	235	15.27	73
5.68	163.76	11.33	56.24
4.02	104.88	13.96	25.24
2.75	226.82	16.37	64.47
6.52	235.65	13.16	60.44
6.94	273.76	14.65	56.88
1.61	233.06	14.33	29.71
2	259.71	13.17	39.75
1.65	389.94	15.61	68.81
1.12	344.94	17.86	89.94
1.64	204.35	19.65	33.53
2.2	58.24	16.37	6.31
2.02	236.94	16.73	47.63
2.03	354.69	21.81	95.13
2.54	101	11.85	36.38
2.71	309.65	14.38	45.13
3.17	304.94	18.87	67.13
2.4	219.35	16.28	60.31
2.93	245.81	10.99	42.94
1.14	327.06	12.46	23.56
1.08	324.65	13.39	36.75
1.09	312.59	13.79	21.75
2.11	309.41	20.08	3.63
1.05	230.18	18.72	1.81
1.12	258.06	20.59	15.21
0.96	133.71	17.42	3.82
1.88	121.94	16.71	2.88
1.57	247.24	17.62	35.35
3.25	261.65	16.12	15.88
2.58	152.47	13.8	35.88
5.92	223.94	11.84	50.47
5.99	303.82	9.91	49.35
1.99	292.18	10.99	32.47
1.37	222.38	11.59	10.46
2.34	204.94	13.94	25.35
2.76	217.94	14.44	32.41
5.18	123.82	11.32	39.71
4.99	94.65	12.37	48.29
5.02	143.71	8.46	50.06
5.75	132.53	9.39	51.18
5.21	86.59	11.28	32.94
3.59	63.65	9.06	68.44
2.99	263.65	10.11	69.13
3.03	373.12	9.71	75.25
3.05	442.76	9.95	80.19
2.23	368.06	10.86	85.88
2.16	464.06	13.91	104.19
2.12	419.29	15.26	103.63
2.94	310.59	15.94	122.76
4.32	569.12	17.18	122.82
4.56	425.59	18.55	112.82
2.87	53.18	12.3	56.12
2.13	181.35	12.21	21.88
2.46	134.88	12.51	35
4.04	448.94	11.6	69.53
2.89	279.41	9.23	61.53
3.28	310.12	10.45	56.35
2.59	263.12	12.84	89.06
1.69	368.06	15.17	104.76
1.98	495	18.21	117.76
3.18	411.12	21.1	90.59
3.94	444.12	22.19	97.41
4.81	469.31	13.82	73.75
3.4	434.71	12.9	77.76
3.54	361.47	15.36	82.65
2.02	132.29	11.62	62.53
2.28	528.59	18.64	95.82
3.65	585.82	21.39	124.07
5.64	585.65	20.99	116.53
4.97	517.12	22.68	117.12
2.06	582.71	24.65	147.88
3.58	622.59	21.96	123.29
2.1	620.35	21.97	127.24
7.46	416.94	17.27	96.82
4.21	429.41	13.65	83.53
1.96	592.88	17.21	97.71
3.45	228.76	14.65	63.63
2.32	255.06	15.79	61.65
3.58	300	16.06	70.47
3.04	183	17.52	92.88
5.97	485.71	18.61	99
5.03	554.47	18.38	126.58
3.1	532.76	23.35	139.44
5.16	252.82	17.6	83.31
5.47	392.18	17.11	74.13
